time,low,high,open,close
Mar  6 10:02:00,1121140,1299780,1298810,1299010
Mar  6 13:29:00,1121140,1302610,1133140,1133080
Mar  5 23:51:00,1122500,1295520,1122740,1295070
Mar  6 00:03:00,1121940,1295520,1122030,1122030
Mar  6 00:09:00,1121930,1295520,1122190,1122360
Mar  6 02:41:00,1121140,1296560,1295660,1295790
Mar  6 04:21:00,1121140,1296560,1123440,1123490
Mar  6 11:20:00,1121140,1301430,1301220,1131840
Mar  6 13:36:00,1121140,1302610,1299910,1130730
Mar  6 18:05:00,1121140,1304910,1130800,1130660
Mar  5 23:38:00,1122500,1295520,1295110,1122680
Mar  6 00:36:00,1121350,1295760,1122470,1295790
Mar  6 06:44:00,1121140,1296560,1295480,1122320
Mar  6 13:18:00,1121140,1302610,1133230,1300400
Mar  6 08:33:00,1121140,1298120,1126760,1126690
Mar  6 10:37:00,1121140,1301430,1131480,1130990
Mar  6 15:52:00,1121140,1304910,1303610,1303870
Mar  6 08:06:00,1121140,1298120,1124130,1297730
Mar  6 17:42:00,1121140,1304910,1299790,1130120
Mar  6 18:29:00,1121140,1304910,1129730,1129500
Mar  5 21:02:00,1111960,1296830,1122900,1122840
Mar  6 02:16:00,1121140,1296560,1124530,1124480
Mar  6 02:54:00,1121140,1296560,1295470,1295480
Mar  6 04:34:00,1121140,1296560,1295460,1123350
Mar  6 06:11:00,1121140,1296560,1122860,1295610
Mar  6 02:00:00,1121140,1296430,1124600,1124550
Mar  6 06:19:00,1121140,1296560,1295370,1122560
Mar  6 08:49:00,1121140,1298120,1127400,1297530
Mar  6 09:44:00,1121140,1299750,1128850,1299300
Mar  6 18:18:00,1121140,1304910,1130930,1130590
Mar  5 20:58:00,1111960,1296830,1296160,1296150
Mar  5 23:16:00,1122600,1295520,1122690,1122710
Mar  6 15:49:00,1121140,1304910,1130800,1130380
Mar  6 02:01:00,1121140,1296430,1296380,1124660
Mar  6 09:08:00,1121140,1298170,1297890,1297870
Mar  6 14:54:00,1121140,1302650,1135430,1302420
Mar  6 15:14:00,1121140,1304910,1304580,1134410
